식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,고유ID,URL_Alias,서비스유형,상세페이지_URL
어물전 청 한남점,한식,4.6,1248,한남,050700913121,점심 저녁 동일가 8.9만원,37.5377494,127.0049992,dN2HdyoZHiFKpTWY6IpV2A,eomuljeonchunghannam,DINING,https://app.catchtable.co.kr/ct/shop/eomuljeonchunghannam?type=DINING
힙한식,한식,4.6,299,남해,050720886540,,34.7286468,128.0315392,eaIsDM4OUx3QUVzLimDlOA,HiphansikNamhae,WAITING,https://app.catchtable.co.kr/ct/shop/HiphansikNamhae?type=WAITING
만가타,유러피안음식,4.8,880,삼청,050700917851,"점심, 저녁 동일가 7.7만원",37.58019,126.9809915,O5XWnBlWMY7T0mLB-Sjl2g,kdh_mangata,DINING,https://app.catchtable.co.kr/ct/shop/kdh_mangata?type=DINING
무탄 광화문점,중식,4.5,1017,광화문,050718569284,,37.5696647,126.9721401,IN_KONj-bgu6J1oE-3IYSg,mutan_gwanghwamoon,WAITING,https://app.catchtable.co.kr/ct/shop/mutan_gwanghwamoon?type=WAITING
더이탈리안 클럽 판교 테크원점,이탈리아음식,4.5,1255,판교,050700918864,,37.3954648,127.1121136,UA5xpg9DRjWUk-UYrM_ODg,coresociety2021,DINING,https://app.catchtable.co.kr/ct/shop/coresociety2021?type=DINING
소바쥬,일식,4.9,653,마포,050700912753,저녁 8만원,37.5412649,126.9462973,TgdqdvK4tx1ipytPfrFEKA,sauvage,DINING,https://app.catchtable.co.kr/ct/shop/sauvage?type=DINING
무탄 코엑스점,중식,4.3,1421,코엑스,050700913033,,37.5116621,127.0594275,HtUf0-hdkmaRUhCHBeEF1g,mutandining,WAITING,https://app.catchtable.co.kr/ct/shop/mutandining?type=WAITING
죠죠 용산점,일식,4.6,1724,신용산,01033788757,,37.531607,126.9698617,MAWhHEPudR1srxYxUA0gNQ,jyojyo_yongsan,WAITING,https://app.catchtable.co.kr/ct/shop/jyojyo_yongsan?type=WAITING
동보성 본점,중식,5.0,1,선릉,050700915025,,37.5043884,127.0499893,OL4rZAbv8LoVsmEFErFNSA,dongbosung,DINING,https://app.catchtable.co.kr/ct/shop/dongbosung?type=DINING
서울다이닝,코스요리,4.7,1447,장충동,050712835250,저녁 15만원,37.5592753,127.0036307,nUwMQiFcxAw0YWNVrWsFiw,seoul-dining,DINING,https://app.catchtable.co.kr/ct/shop/seoul-dining?type=DINING
아이스크림 소사이어티,"카페,디저트",4.4,7,반포,01090837345,,37.5039351,127.002413,mDBB_QNrzIz9wb9av6NfZg,ice_cream_society,WAITING,https://app.catchtable.co.kr/ct/shop/ice_cream_society?type=WAITING
래빗홀버거 건대,햄버거,4.0,1,화양,050718569949,,37.5460451,127.0765434,yrGaTrFNSNBE2v_Se5Hj3A,rabbitholeburger,WAITING,https://app.catchtable.co.kr/ct/shop/rabbitholeburger?type=WAITING
칸세이 Kansei,컨템포러리,4.8,209,가락,07082110231,,37.4965052,127.1211315,LrA2xKcwUzzgxe8GtMQr4g,kanseiseoul,DINING,https://app.catchtable.co.kr/ct/shop/kanseiseoul?type=DINING
오이너구리,와인,5.0,32,보광,050700918870,,37.5258016,126.9969726,IXiPkeYk0LH1mpgtXRuasQ,cucumberraccoon,DINING,https://app.catchtable.co.kr/ct/shop/cucumberraccoon?type=DINING
크라운돼지 제주점,"육류,고기요리",3.7,26,제주 제주시,050720889295,,33.3931794,126.383177,AVSpZHD1iRqBG11vc_9_Vw,crownpig_jeju,DINING,https://app.catchtable.co.kr/ct/shop/crownpig_jeju?type=DINING
히카리모노,일식,4.4,278,광화문,01099257226,,37.57096,126.9814392,l9AG8mKwguGd7hP0FWJK_Q,hikarimono,DINING,https://app.catchtable.co.kr/ct/shop/hikarimono?type=DINING
헤키,일식,4.8,3564,망원,07077739870,,37.5552383,126.9097924,rCZ0zUIX8MFNuFJkxfVJPg,haruheki,WAITING,https://app.catchtable.co.kr/ct/shop/haruheki?type=WAITING
스시사카바 갓포아키,이자카야,4.5,484,제주 제주시,050712835653,,33.4852308,126.4885717,ciMTJDNYxR1G3r7_LN7vtQ,kappoakiijj,DINING,https://app.catchtable.co.kr/ct/shop/kappoakiijj?type=DINING
홍박사 생고기 강남점,"육류,고기요리",4.6,319,논현,050712837005,,37.5190503,127.0279875,zvtLMSoLvYB1n6jkpXygvw,hong_meat,DINING,https://app.catchtable.co.kr/ct/shop/hong_meat?type=DINING
어물전 청 잠실점,한식,4.5,2440,잠실,050700916639,"주말 점심, 저녁 동일가 8.9만원",37.513871,127.1063644,FlNPILOOQXh-ytn9mqPLyg,eomuljeonchung_jamsil,DINING,https://app.catchtable.co.kr/ct/shop/eomuljeonchung_jamsil?type=DINING
죠죠 대학로점,일식,4.5,30,혜화,01083198684,,37.5828674,127.0001562,-xYbyEWX1F1fYWMwFQ_6Xw,jojo_daehakro,WAITING,https://app.catchtable.co.kr/ct/shop/jojo_daehakro?type=WAITING
죠죠 트리플스트리트점,일식,4.2,131,송도,050720882890,,37.3797884,126.6609571,ybg1vUY0sxkgqjOcZhAErw,sksskdi20707,WAITING,https://app.catchtable.co.kr/ct/shop/sksskdi20707?type=WAITING
갓포아키 삼성점,이자카야,4.7,2104,삼성,0262038660,,37.5088359,127.064558,UPSUKUfZTufZkM5KkgdA4g,kappoakiicd,DINING,https://app.catchtable.co.kr/ct/shop/kappoakiicd?type=DINING
무스,,0.0,0,마포,01099057325,,37.5458,126.9412426,ugYfFGAuStwWM3JGNYr7sw,mus_,DINING,https://app.catchtable.co.kr/ct/shop/mus_?type=DINING
더이탈리안 클럽,이탈리아음식,4.4,2528,잠실,01034562928,,37.513871,127.1063644,9Ch2kAPlXkYG2oMd7g2pHw,italianclub,DINING,https://app.catchtable.co.kr/ct/shop/italianclub?type=DINING
신안가옥,"육류,고기요리",4.6,166,논현,0262470101,,37.5188147,127.0277795,X-pOZZYdTC_tM2Tgt5CXww,shinan_gaok,DINING,https://app.catchtable.co.kr/ct/shop/shinan_gaok?type=DINING
키이로,일식,4.8,2127,가로수길,01053546912,,37.5196035,127.0190762,x5znKYoSpLq9uGvmpj02aw,kiro,DINING,https://app.catchtable.co.kr/ct/shop/kiro?type=DINING
죠죠 성수점,일식,4.6,1876,성수,050713288757,,37.5414821,127.0609786,OW0KX2t72YQadIcwKuTPIQ,jyojyo,WAITING,https://app.catchtable.co.kr/ct/shop/jyojyo?type=WAITING
어물전 팔도,한식,4.5,130,한남,01099157253,저녁 10만원,37.5377494,127.0049992,15eqbIQ3jXklsdTA5Z6oGw,boyangsikdang,DINING,https://app.catchtable.co.kr/ct/shop/boyangsikdang?type=DINING
이태원 실비디스코,요리주점,4.1,187,이태원,07086912298,,37.5339504,126.9957801,el_DoZ_kv30-ucnREPLHwA,itaewon_silby,DINING,https://app.catchtable.co.kr/ct/shop/itaewon_silby?type=DINING
을지깐깐,베트남음식,4.3,144,을지로,01054216788,,37.5657466,126.9910635,0_TFVXAl0wimoiqSj8ESiw,euljicanhcanh,WAITING,https://app.catchtable.co.kr/ct/shop/euljicanhcanh?type=WAITING
몽도 (Mòndo) ,이탈리아음식,4.8,637,신사,07088078000,저녁 2~7만원,37.5135999,127.0163095,DEfepjqMv_56SjUGSoj9wQ,mondoseoul,DINING,https://app.catchtable.co.kr/ct/shop/mondoseoul?type=DINING
쌤쌤쌤 광화문,양식,4.3,256,광화문,050714268222,,37.5710184,126.9789694,fZPRdJYLIrW-HcujZdNEXQ,samsamsam,WAITING,https://app.catchtable.co.kr/ct/shop/samsamsam?type=WAITING
최강달인 김혜규의 뼈대있는 짬뽕,중식,0.0,0,대구 서구,0535218889,,35.8648211,128.5608385,uJ-rqF8C5r32lb-53ekCEg,handmade_noodls,DINING,https://app.catchtable.co.kr/ct/shop/handmade_noodls?type=DINING
무탄 파주 스타필드점,중식,4.2,225,파주,03180357470,,37.7290593,126.7647414,HhULzKgX6cYWRPEE_ABZFQ,mutanpaju,DINING,https://app.catchtable.co.kr/ct/shop/mutanpaju?type=DINING
무탄 압구정 본점,중식,4.5,422,압구정,050712835361,,37.5273088,127.0303297,B9I0rwEhaOx6VstNzW5_AA,mutan,DINING,https://app.catchtable.co.kr/ct/shop/mutan?type=DINING
숯. 더 붓처스 엣지,다이닝바,4.4,169,여의도,050712837487,저녁 19.8만원,37.5255723,126.9266142,WAbh3jo5Ohk8q1zq_7EZ7Q,37grillandbar,DINING,https://app.catchtable.co.kr/ct/shop/37grillandbar?type=DINING
온하루 사랑방: 호빵과 가배,카페 & 베이커리,4.8,12,서촌,050702691231,2024.11.15 ~ 2024.11.16,37.5805153,126.9734049,1HYGmYeEs13UKDYVJQDZaA,Y2F0Y2hfMkFGSFJsR2RSazVteTRKbktJcXFvUT09,DINING,https://app.catchtable.co.kr/ct/shop/Y2F0Y2hfMkFGSFJsR2RSazVteTRKbktJcXFvUT09?type=DINING
지강한식당 잠실점,한식,4.3,89,잠실,050712835772,,37.513871,127.1063644,Jw9SPPha8l_4Iozg6YDphg,Jikang_Korean_Restaurant_jamsil,WAITING,https://app.catchtable.co.kr/ct/shop/Jikang_Korean_Restaurant_jamsil?type=WAITING
온6.5,다이닝바,4.5,1509,안국,050700919464,,37.5773758,126.9842814,47jHT01fp_nCI0cT-mo03Q,on65,DINING,https://app.catchtable.co.kr/ct/shop/on65?type=DINING
쌤쌤쌤 롯데월드몰,이탈리아음식,4.0,47,잠실,050702691073,,37.5125702,127.1025625,rxf5-Xu0ISkC96KlQxJ6nQ,samsamsamslotte,WAITING,https://app.catchtable.co.kr/ct/shop/samsamsamslotte?type=WAITING
페리지 (PERIGEE),이탈리아음식,4.8,1825,삼성,050702691682,저녁 18만원,37.5112514,127.049499,zHjkN5ZDFnWI3t1llNAFqQ,perigee_seoul,DINING,https://app.catchtable.co.kr/ct/shop/perigee_seoul?type=DINING
보보식당,중식,4.5,2876,압구정,050700919476,"점심, 저녁 동일가 1-19만원",37.5278619,127.0363122,yd_i8XIlFJAZvFphm7eqYg,bobo,DINING,https://app.catchtable.co.kr/ct/shop/bobo?type=DINING
중식당 청 한남점,중식,4.4,190,한남,050700917734,저녁 1 - 12만원,37.5353773,127.0100584,TmcLOhOhpWswkRgioxBM5Q,chung_hn,DINING,https://app.catchtable.co.kr/ct/shop/chung_hn?type=DINING
바 라핀부쉬,다이닝바,4.6,197,이태원,050702692963,,37.5339879,126.9959424,TyrfNC083neKmJsTFeRtTw,lafinebouche,DINING,https://app.catchtable.co.kr/ct/shop/lafinebouche?type=DINING
호시우보 여의도본점(TP타워),소고기구이,4.6,397,여의도,050702693903,,37.5215212,126.9228725,YItOsLu79zi_ricJStq8Xg,hosiubo,DINING,https://app.catchtable.co.kr/ct/shop/hosiubo?type=DINING
라오삐약 신용산점,아시아음식,0.0,0,용리단길,050702691844,,37.5310833,126.9710259,QuOZsGNicVkVQ-_shYZiqQ,laopiyak_shinsongsan,WAITING,https://app.catchtable.co.kr/ct/shop/laopiyak_shinsongsan?type=WAITING
뽀모,이탈리아음식,4.8,127,대치,050714664024,,37.4995951,127.0516542,o4E71-truy03LSrUxSCzHA,pomo,DINING,https://app.catchtable.co.kr/ct/shop/pomo?type=DINING
라오삐약,아시아음식,5.0,18,망원,050702691858,,37.552737,126.9044441,AJABslvG8AcZSYW9eWQqxg,laoppiyag,DINING,https://app.catchtable.co.kr/ct/shop/laoppiyag?type=DINING
멘쇼쿠,라멘,0.0,0,신사,01055457226,,37.5154134,127.0188518,qhCMoUluotsaz5d20IPKYg,menshoku,WAITING,https://app.catchtable.co.kr/ct/shop/menshoku?type=WAITING
동남방앗간 한남,이탈리아음식,4.6,451,한남,050700916108,,37.5337671,127.0098359,kDGDZdffFIO-NhWwwcS-fQ,dongnam,DINING,https://app.catchtable.co.kr/ct/shop/dongnam?type=DINING
비스트로 앤트로,컨템포러리,4.6,874,압구정,050700916154,,37.5231333,127.0271657,U6-uL_L8_eQi8mIwhEBw_w,bistroanthro,DINING,https://app.catchtable.co.kr/ct/shop/bistroanthro?type=DINING
포그,피자,0.0,0,마포,0000,,37.5464913,126.9429879,32yIVkTLDMd0ritm1KBf8Q,pog_seoul1,WAITING,https://app.catchtable.co.kr/ct/shop/pog_seoul1?type=WAITING
당옥,카페 & 베이커리,0.0,0,가로수길,050713791276,,37.5201006,127.0204676,NI4Q0lsywMcx_ZLQeYYGqQ,dangok,DINING,https://app.catchtable.co.kr/ct/shop/dangok?type=DINING
양출서울,와인,4.8,278,논현,050712839174,저녁 5.5-7.5만원,37.5166188,127.0324593,0Xlx3ig_ENtDIltN67m7Jg,yangchulseoul,DINING,https://app.catchtable.co.kr/ct/shop/yangchulseoul?type=DINING
불래,컨템포러리,4.7,429,한남,050700919690,,37.5346197,127.0088244,RCe-bF5Qk8-1dK7hU_Ug5A,bruleeseoul,DINING,https://app.catchtable.co.kr/ct/shop/bruleeseoul?type=DINING
차이나룸 몬드리안 호텔,중식,4.6,670,이태원,050700916209,,37.5285648,126.9931163,18kG8eLryMk3nbF8SisptQ,chinaroom_mh,DINING,https://app.catchtable.co.kr/ct/shop/chinaroom_mh?type=DINING
테디뵈르하우스,"카페,디저트",4.4,34,삼각지,050713798667,,37.5316045,126.9725361,lkWRL3fHjgnDg-Ox1KJ2vQ,teddybeurrehouse,WAITING,https://app.catchtable.co.kr/ct/shop/teddybeurrehouse?type=WAITING
레스토랑 온 ON,프랑스음식,4.9,388,청담,050712835608,,37.5219933,127.0494134,jXozZSpto6RADElB4WH1OQ,restauranton,DINING,https://app.catchtable.co.kr/ct/shop/restauranton?type=DINING
호루몬,코스요리,4.7,441,도산공원,050700913587,,37.5230206,127.0344719,M201Ig6UxXOIArecv9WCzA,horumon,DINING,https://app.catchtable.co.kr/ct/shop/horumon?type=DINING
타카 스키야키&우나기,일식,4.7,2365,이태원,050712835058,저녁 15만원,37.5285648,126.9931163,GANCwzahF1wJOWg_CGcHxA,taka,DINING,https://app.catchtable.co.kr/ct/shop/taka?type=DINING
외포리 숯불장어,장어 요리,5.0,2,인천,050702692833,,37.7044339,126.3684103,lnEjdm2e3_3sQ9R8SsSyyw,oepolisuchbuljangeo,DINING,https://app.catchtable.co.kr/ct/shop/oepolisuchbuljangeo?type=DINING
수인 인사동 닭한마리,"닭,오리요리",4.5,100,인사동,050712834649,,37.5747933,126.9861953,6DAHJ3DhIkvjf30yGrk68A,suin_seoul,DINING,https://app.catchtable.co.kr/ct/shop/suin_seoul?type=DINING
