가게명,셰프_닉네임,주요_판매_요리,주소,좌표정보,리뷰수,평점,예약진행여부,평균가격대,영업시간,휴무일,추가정보
회현카페,김건,양식,서울 중구 회현동,미확인,100,4.5,예약가능,"점심 2.1만원, 저녁 영업안함",11:30-15:00,미확인,흑백요리사2 출연
콩두 명동,박효남,한식,서울 중구 명동,미확인,675,4.7,예약가능,"점심 4-12만원, 저녁 7-13만원",07:00-21:00,미확인,자동결제/예약금0원
도우룸 광화문,이준,양식,서울 종로구 광화문,미확인,759,4.5,예약가능,"점심·저녁 3-4만원",11:00-22:00,일요일,예약금0원
어물전 청 잠실점,황금손,한식,서울 송파구 잠실,미확인,2440,4.5,예약가능,8.9만원,17:00-22:00,미확인,예약금0원/꽃주문서비스
비스트로 앤트로,앵그리 코리안,컨템포러리,서울 강남구 압구정,미확인,873,4.6,예약가능,"점심·저녁 2-8만원",12:00-22:00,"일·월",예약금0원
포그,평가절하,피자,서울 마포구,"위도: 37.547, 경도: 126.951 (추정)",미확인,미확인,웨이팅,"점심·저녁 1-2만원",11:50-21:00,미확인,마포 공덕
뽀또,김성운,이탈리아음식,서울 강남구 대치,미확인,126,4.8,예약가능,"점심·저녁 1-2만원",11:00-22:00,미확인,예약 성공 보장
대동옥 을지로 본점,미스터사이공,한식,서울 중구 을지로,미확인,231,4.4,예약가능,"점심·저녁 1-3만원",11:30-22:00,미확인,30일간 예약가능
어물전 청 한남점,황금손,한식,서울 용산구 한남,미확인,1248,4.6,예약가능,8.9만원,17:00-22:00,미확인,콜키지 프리 쿠폰
신안가옥,황금손,육류/고기요리,서울 강남구 논현,미확인,165,4.6,예약가능,"점심·저녁 동일가 (미확인)",12:00-22:00,미확인,신규입점
육동식,옥동식(뉴욕에 간 돼지곰탕),한식(돼지곰탕),서울 마포구 합정,"위도: 37.548, 경도: 126.910 (추정)",3788,4.5,웨이팅제,"점심·저녁 1-2만원",11:00-21:00,미확인,미쉐린 빕구르망
IMOK Smoke Dining,바베큐연구소장(유용욱),바베큐,서울 강남구 신사,"위도: 37.525, 경도: 127.024 (추정)",1487,4.8,예약가능,"점심 15-18만원, 저녁 15-22만원",12:00-21:00,미확인,예약금0원/동네의고수
SOIGNE,이준,컨템포러리,서울 강남구 신사,"위도: 37.527, 경도: 127.023 (추정)",1632,4.8,예약가능,"점심 24만원, 저녁 38만원",12:00-22:00,월요일,미쉐린 2스타
이타닉 가든,손종원,코스요리,서울 강남구 역삼,"위도: 37.499, 경도: 127.038 (추정)",2650,4.9,예약가능,"점심 25만원, 저녁 37만원",12:00-22:00,화요일,예약금0원/미쉐린 1스타  
소울 SOUL,김희은,컨템포러리,서울 용산구 해방촌,"위도: 37.546, 경도: 126.986 (추정)",1425,4.8,예약가능,"점심 17만원, 저녁 27만원",12:00-22:00,화요일,예약금0원/꽃주문서비스
윤주당,술 빚는 윤주모,요리주점,서울 용산구 해방촌,"위도: 37.546, 경도: 126.985 (추정)",68,4.7,예약가능,"점심 영업안함, 저녁 1-4만원",18:00-23:00,화요일,예약금0원/전통주페어링
유용욱바베큐연구소,바베큐연구소장,바베큐,서울 용산구 남영,"위도: 37.541, 경도: 126.971 (추정)",267,4.8,예약가능,"점심·저녁 10-15만원, 저녁 15만원",12:00-21:00,미확인,프라이빗 코스
앰배서더 서울 풀만 호빈,후덕죽,중식,서울 중구 장충동,"위도: 37.559, 경도: 126.999 (추정)",96,4.7,예약가능,"점심·저녁 11-40만원",11:30-22:00,미확인,미쉐린 1스타
봉래헌,이금희,한정식,서울 강서구 김포공항,"위도: 37.561, 경도: 126.796 (추정)",234,4.6,예약가능,"점심 7-20만원, 저녁 11-30만원",11:30-21:30,월요일,미확인
뜨라또리아 샘킴,샘킴,이탈리아음식,서울 강남구 압구정로데오,"위도: 37.527, 경도: 127.040 (추정)",1327,4.6,예약가능,"점심 8.5-10.5만원, 저녁 14.9-18.9만원",11:30-22:00,미확인,자동결제/예약금0원
파티나(patina),파스타스타,파스타,서울 종로구 북촌,"위도: 37.583, 경도: 126.983 (추정)",1249,4.7,예약가능,"점심·저녁 2-6만원",11:30-22:00,월요일,예약금0원
독립식당,4평 외톨이,한식,서울 종로구 종로,"위도: 37.571, 경도: 126.991 (추정)",59,4.6,예약가능,"점심·저녁 3.5만원",11:30-21:00,미확인,자동결제/신규입점
오리지널 넘버스 청담,삐딱한 천재(이찬양),코스요리,서울 강남구 청담,"위도: 37.524, 경도: 127.047 (추정)",466,4.8,예약가능,"점심 9.8만원, 저녁 13만원",12:00-22:00,미확인,프렌치레스토랑
까델루뽀,서촌황태자(이재훈),이탈리아음식,서울 종로구 서촌,"위도: 37.583, 경도: 126.967 (추정)",37,4.6,예약가능,"점심 2-5만원, 저녁 2-10만원",11:30-21:30,일요일,신규입점
죠죠 대학로점,철판대장,일식(오코노미야끼),서울 종로구 혜화,"위도: 37.587, 경도: 127.002 (추정)",30,4.5,예약가능,"점심·저녁 1-2만원",11:30-22:00,미확인,예약 성공 보장
무탄 코엑스점,선 넘은 짜장,중식,서울 강남구 코엑스,"위도: 37.512, 경도: 127.059 (추정)",1420,4.3,예약가능,2-5만원,11:00-21:30,미확인,30일간 예약가능
테이블포포,김성운,코스요리,서울 용산구 한남,"위도: 37.537, 경도: 127.002 (추정)",미확인,미확인,예약가능,"저녁 25만원",18:00-23:00,미확인,파인다이닝
라망 시크레,손종원,컨템포러리,서울 중구 회현,"위도: 37.557, 경도: 126.983 (추정)",미확인,미확인,예약가능,"저녁 27만원",12:00-22:00,미확인,프렌치레스토랑
윤서울,김도윤,한식,서울 강남구 선릉로 805,"위도: 37.506, 경도: 127.048 (추정)",827,4.6,예약가능,"점심 12만원, 저녁 24만원",12:00-22:00,미확인,발베니 코리아
면서울,김도윤,한식,서울 강남구 선릉로 805,"위도: 37.506, 경도: 127.048 (추정)",미확인,미확인,예약가능,"미확인",미확인,미확인,윤서울과 동일 위치
