날짜,아기맹수
2025-12-09,1.97237
2025-12-10,1.94689
2025-12-11,1.70735
2025-12-12,1.59522
2025-12-13,1.78889
2025-12-14,1.95708
2025-12-15,2.48203
2025-12-16,31.48157
2025-12-17,100
2025-12-18,80.17939
2025-12-19,60.37408
2025-12-20,51.59777
2025-12-21,48.81504
2025-12-22,35.14601
2025-12-23,40.17634
2025-12-24,51.20024
2025-12-25,56.84215
2025-12-26,45.76729
2025-12-27,39.56984
2025-12-28,35.06956
2025-12-29,25.74792
2025-12-30,22.97028
2025-12-31,33.08699
2026-01-01,27.95983
2026-01-02,25.24336
2026-01-03,20.64624
2026-01-04,49.34508
2026-01-05,39.631
2026-01-06,24.08134
2026-01-07,20.74817
2026-01-08,16.75755
2026-01-09,13.42948
2026-01-10,13.45497
2026-01-11,15.3407
2026-01-12,15.3356
2026-01-13,50.07899
2026-01-14,48.60098
2026-01-15,